Technique,JS_Divergence,NN_Distance,Reident_AUC,Perf_Loss_LogReg,Perf_Loss_RF,Perf_Loss_XGB,Achieved_k,Reident_Risk,Suppressed
CTGAN,inf,3.1376729945034696,1.0,0.0760459344060688,0.3703351377306738,0.5074237075010881,,,
CTGAN,inf,3.1376729945034696,1.0,0.0760459344060688,0.3703351377306738,0.5074237075010881,,,
k-Anonymity (k=5),,,,-0.0174539404872944,0.0,-0.001350275323168,5.0,0.2,2664.0
k-Anonymity (k=5),,,,-0.0174539404872944,0.0,-0.001350275323168,5.0,0.2,2664.0
Gaussian Noise Perturbation,,0.2426173798323459,,0.0031276124610505,0.0,-0.001350275323168,,0.757382620167654,0.0
Gaussian Noise Perturbation,,0.24309166699262963,,0.0047313612778863146,0.0,-0.0013502753231680042,,0.7569083330073704,0.0
